City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Wonthaggi,AU,-38.6044,145.5913,46.89,67,60,10.89,broken clouds
287,Shimoda,JP,34.6667,138.95,77.11,93,100,14.92,overcast clouds
288,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,11.5,overcast clouds
289,Shubarshi,KZ,48.5872,57.1869,90.36,22,47,15.95,scattered clouds
290,Kostomuksha,RU,64.571,30.5767,53.8,93,100,4.25,overcast clouds
291,Yenagoa,NG,4.9247,6.2642,74.61,80,98,5.57,overcast clouds
292,Macapa,BR,0.0389,-51.0664,75.18,100,75,5.75,broken clouds
293,Auchi,NG,7.0667,6.2667,70.21,93,59,3.47,broken clouds
294,Bengkulu,ID,-3.8004,102.2655,75.36,88,3,3.36,clear sky
295,Manat,PH,7.5327,126.0173,72.1,97,100,2.75,moderate rain
296,Otane,NZ,-39.8833,176.6333,57.0,79,100,7.96,overcast clouds
297,Yeniseysk,RU,58.4497,92.1703,51.26,99,93,2.57,overcast clouds
298,Mitsamiouli,KM,-11.3847,43.2844,75.76,74,51,10.8,broken clouds
299,Booue,GA,-0.0921,11.9385,75.54,74,100,3.74,overcast clouds
300,Coari,BR,-4.085,-63.1414,91.24,47,61,3.02,broken clouds
301,Te Anau,NZ,-45.4167,167.7167,42.17,96,100,2.77,overcast clouds
302,Pekalongan,ID,-6.8886,109.6753,77.52,83,59,4.21,light rain
303,Tefe,BR,-3.3542,-64.7114,91.51,62,20,8.05,few clouds
304,Shakhovskaya,RU,56.0283,35.5097,48.2,84,6,7.83,clear sky
305,Worland,US,44.0169,-107.9554,99.75,18,20,5.75,light rain
306,Hamilton,US,39.1834,-84.5333,85.08,68,75,4.61,broken clouds
307,Lipno,PL,52.8444,19.1785,67.21,79,96,6.08,overcast clouds
308,Aksu,CN,41.1231,80.2644,80.15,25,6,5.48,clear sky
309,Illapel,CL,-31.6308,-71.1653,64.29,50,1,2.35,clear sky
310,Avarua,CK,-21.2078,-159.775,73.45,78,40,5.75,scattered clouds
311,Urbana,US,40.1106,-88.2073,87.12,63,75,5.01,broken clouds
312,Semey,KZ,50.4111,80.2275,61.83,52,46,5.46,scattered clouds
313,Kempele,FI,64.9131,25.5034,56.12,88,100,5.75,overcast clouds
314,Dubai,AE,25.2582,55.3047,98.53,39,0,5.75,clear sky
315,Hofn,IS,64.2539,-15.2082,50.97,83,73,8.66,broken clouds
316,Katsuura,JP,35.1333,140.3,78.87,88,100,18.03,overcast clouds
317,Aklavik,CA,68.2191,-135.0107,66.87,63,100,13.27,light rain
318,Shieli,KZ,44.1667,66.75,82.87,30,0,9.86,clear sky
319,Katangli,RU,51.7102,143.2326,50.65,98,100,11.9,overcast clouds
320,Cayenne,GF,4.9333,-52.3333,83.08,1,46,1.14,scattered clouds
321,Canandaigua,US,42.8742,-77.288,77.14,84,100,8.99,overcast clouds
322,Narsaq,GL,60.9167,-46.05,61.02,70,100,5.01,overcast clouds
323,Donskoye,RU,45.4552,41.9741,71.73,58,98,9.57,overcast clouds
324,Batticaloa,LK,7.7102,81.6924,79.52,85,78,5.99,broken clouds
325,Hobyo,SO,5.3505,48.5268,76.01,79,62,24.81,broken clouds
326,Port Lincoln,AU,-34.7333,135.8667,52.57,63,100,8.97,overcast clouds
327,Lavrentiya,RU,65.5833,-171.0,38.21,73,99,14.76,overcast clouds
328,Leh,IN,34.1667,77.5833,66.52,37,54,3.53,broken clouds
329,Sechura,PE,-5.5569,-80.8222,72.01,62,91,11.63,overcast clouds
330,Gazanjyk,TM,39.2446,55.5154,93.81,11,0,10.65,clear sky
331,Energetik,RU,51.7445,58.7934,71.92,53,100,8.63,overcast clouds
332,Nuuk,GL,64.1835,-51.7216,50.61,62,75,3.44,broken clouds
333,Linkou,CN,45.3,130.2833,63.28,97,72,2.3,broken clouds
334,Warmbad,NA,-28.45,18.7333,63.5,28,0,8.25,clear sky
335,Malgobek,RU,43.5092,44.5931,71.49,60,88,5.93,overcast clouds
336,Balabac,PH,7.9868,117.0645,80.11,81,100,5.66,overcast clouds
337,Fort Nelson,CA,58.8053,-122.7002,77.07,39,99,4.25,overcast clouds
338,Warah,PK,27.4481,67.7978,89.19,65,45,2.51,scattered clouds
339,Belmonte,BR,-15.8631,-38.8828,72.45,73,24,7.34,few clouds
340,Beipiao,CN,41.7919,120.7792,66.42,73,0,2.71,clear sky
341,College,US,64.8569,-147.8028,62.92,79,100,13.8,light rain
342,Faya,SA,18.3851,42.4509,68.52,38,60,3.69,broken clouds
343,Luderitz,NA,-26.6481,15.1594,58.24,82,0,11.81,clear sky
344,Starobaltachevo,RU,56.0013,55.9213,63.95,76,44,8.95,scattered clouds
